iteration,n_campaigns,n_ads,total_budget,risk_factor,ga_population_size,ga_max_generations,ga_mutation_rate,ga_crossover_rate,tabu_max_iterations,tabu_tenure,tabu_neighborhood_size,tabu_use_aspiration,tabu_intensification_threshold,tabu_diversification_threshold
328,3,39,10919355.710044961,0.78,59,146,0.08,0.74,146,21,59,True,92,109
329,6,10,26507179.09778416,0.02,93,85,0.27,0.81,85,8,93,True,96,195
330,4,21,13373707.768192582,1.39,14,190,0.1,0.72,190,24,14,True,77,113
331,2,35,13867393.059111187,0.6,63,27,0.06,0.72,27,10,63,True,54,98
332,5,36,24364488.820394862,1.34,74,26,0.2,0.91,26,7,74,True,42,175
333,9,11,50283691.062012926,0.33,25,36,0.2,0.71,36,25,25,True,60,147
334,10,35,51187959.24748419,1.52,58,87,0.16,0.7,87,10,58,True,72,67
335,3,11,16882915.714393806,1.11,14,59,0.3,0.78,59,30,14,True,36,164
336,1,27,7702303.451381045,1.53,74,21,0.17,0.76,21,16,74,True,29,148
337,4,38,20155722.58785115,1.73,84,89,0.19,0.86,89,22,84,True,44,86
338,4,21,20498603.11939507,1.88,100,62,0.08,0.83,62,9,100,True,74,53
339,3,25,17139324.265656736,1.97,82,34,0.06,0.84,34,11,82,True,24,180
340,6,10,24945890.13422923,1.32,13,47,0.21,0.7,47,6,13,True,73,147
341,2,2,3899469.7592431027,1.21,40,101,0.07,0.85,101,27,40,True,72,155
342,7,7,24047733.942642823,1.98,39,67,0.06,0.9,67,13,39,True,50,174
343,6,6,26532853.831327803,0.77,35,182,0.18,0.85,182,29,35,True,60,119
344,5,6,22679408.29449986,0.75,71,77,0.19,0.78,77,21,71,True,84,57
345,7,8,38141498.88254689,0.48,32,39,0.22,0.78,39,8,32,True,78,148
346,7,30,23347243.061173342,0.31,40,61,0.24,0.91,61,15,40,True,54,125
347,3,19,9922689.664147355,0.28,22,166,0.13,0.77,166,19,22,True,86,154
348,2,2,5705412.50818683,0.75,18,92,0.23,0.7,92,10,18,True,48,72
349,10,30,48788119.08457509,1.77,36,55,0.08,0.77,55,18,36,True,61,177
350,3,3,17986614.03049153,1.35,84,144,0.27,0.89,144,15,84,True,86,99
351,8,14,43530608.52139238,1.78,86,43,0.24,0.72,43,17,86,True,90,200
352,8,28,44772593.8931718,1.02,63,138,0.14,0.89,138,12,63,True,52,188
353,7,7,32833780.298911493,1.63,18,119,0.09,0.88,119,6,18,True,38,198
354,9,37,42582048.62850899,1.63,74,103,0.16,0.78,103,27,74,True,62,189
355,5,5,18822738.7158326,0.91,37,106,0.19,0.88,106,14,37,True,61,161
356,2,8,17040019.735079724,1.82,16,117,0.07,0.76,117,15,16,True,36,65
357,1,27,8287347.610172976,1.02,74,134,0.18,0.87,134,23,74,True,98,163
358,9,38,37211151.44850579,1.06,40,171,0.27,0.88,171,9,40,True,25,108
359,3,39,22989269.914507627,1.26,56,55,0.22,0.9,55,16,56,True,64,156
360,10,29,44884696.689977966,0.25,78,145,0.24,0.78,145,15,78,True,53,193
361,4,12,23009287.159586694,1.1,72,181,0.18,0.73,181,21,72,True,95,197
362,6,20,27642821.380912825,0.43,84,103,0.21,0.93,103,20,84,True,37,186
363,2,40,13222052.867679572,1.07,73,168,0.26,0.78,168,23,73,True,97,147
364,10,35,47784560.80003339,0.25,81,36,0.06,0.76,36,28,81,True,44,82
365,4,4,22498769.75184007,1.91,69,172,0.16,0.8,172,6,69,True,92,113
366,3,37,14632559.383429565,0.7,12,140,0.08,0.92,140,22,12,True,44,153
367,5,33,22970608.21240327,0.94,65,160,0.24,0.91,160,25,65,True,77,137
368,3,3,6594261.509296926,0.68,62,25,0.12,0.93,25,17,62,True,88,137
369,10,26,43538542.47364593,0.97,90,121,0.23,0.75,121,14,90,True,76,109
370,10,13,51521462.31267838,1.09,82,194,0.24,0.71,194,7,82,True,69,172
371,10,33,39722214.77664056,0.68,34,150,0.12,0.82,150,26,34,True,77,66
372,1,10,7853243.604572413,1.68,16,191,0.07,0.8,191,9,16,True,30,86
373,5,36,17074793.34444335,0.23,98,42,0.09,0.88,42,16,98,True,31,118
374,7,25,34104977.973424986,0.04,96,30,0.17,0.91,30,20,96,True,65,103
375,7,9,37356877.64927243,0.78,26,148,0.27,0.86,148,22,26,True,25,130
376,7,7,27823109.746201336,1.63,100,64,0.16,0.72,64,26,100,True,88,112
377,6,29,27253057.281125546,1.06,17,51,0.14,0.87,51,12,17,True,48,93
378,2,2,5263499.373267427,1.9,57,131,0.15,0.89,131,5,57,True,100,126
379,5,24,12703938.91702222,0.84,10,154,0.1,0.71,154,8,10,True,52,197
380,7,28,36977099.27207398,0.48,48,59,0.27,0.79,59,5,48,True,33,160
381,6,14,28430468.905055646,0.48,82,176,0.16,0.7,176,15,82,True,55,172
382,6,18,24935202.19848182,0.56,57,61,0.22,0.94,61,24,57,True,76,79
383,2,7,7958581.853005741,1.77,50,32,0.13,0.87,32,29,50,True,24,171
384,9,21,42947810.931067556,0.1,34,159,0.19,0.77,159,17,34,True,61,127
385,9,9,39695715.53238088,0.16,65,116,0.2,0.87,116,12,65,True,65,161
386,4,34,23250542.875940207,1.57,45,184,0.17,0.79,184,21,45,True,97,88
387,1,29,7632297.834872387,0.27,48,83,0.16,0.85,83,29,48,True,39,160
388,6,34,27132584.61699978,0.47,48,61,0.27,0.89,61,18,48,True,45,195
389,1,1,8344136.085595962,1.35,86,34,0.08,0.75,34,25,86,True,34,141
390,10,13,50839441.52376631,1.19,47,54,0.06,0.94,54,15,47,True,66,130
391,10,16,40449016.0568317,1.41,78,88,0.28,0.91,88,26,78,True,35,112
392,8,8,39086902.305271715,0.04,39,90,0.27,0.92,90,20,39,True,42,166
393,3,38,15369402.76148351,0.57,82,97,0.21,0.94,97,25,82,True,42,152
394,4,5,22945228.96456211,1.15,46,138,0.1,0.87,138,9,46,True,41,128
395,1,1,7501403.773713898,1.08,19,197,0.24,0.8,197,19,19,True,45,74
396,10,14,49737033.42281078,1.29,92,95,0.22,0.78,95,27,92,True,100,114
397,4,38,14328655.88157593,0.53,96,158,0.18,0.82,158,9,96,True,71,63
398,7,34,27589242.32615968,1.02,44,86,0.17,0.88,86,29,44,True,53,190
399,6,14,27298218.830419786,1.91,37,39,0.23,0.78,39,5,37,True,24,198
400,2,30,7210720.693305028,1.58,67,116,0.28,0.86,116,13,67,True,52,136
401,6,19,24468944.131894313,0.87,16,78,0.07,0.89,78,28,16,True,75,159
402,1,15,3310750.770478352,1.92,17,97,0.25,0.79,97,26,17,True,68,52
403,10,35,41041527.19559197,1.77,67,107,0.19,0.8,107,10,67,True,56,102
404,9,13,52530521.37134728,1.41,60,74,0.06,0.95,74,18,60,True,35,134
405,5,28,21508521.58748677,0.43,25,97,0.15,0.75,97,26,25,True,93,131
406,2,15,13528580.442581272,1.55,22,100,0.12,0.81,100,22,22,True,39,177
407,2,40,3973248.6515488643,0.55,11,173,0.2,0.78,173,30,11,True,63,156
408,2,37,12292697.1826875,0.31,38,180,0.28,0.86,180,11,38,True,69,187
409,6,20,28547355.098908316,0.15,26,200,0.23,0.78,200,18,26,True,57,165
410,2,24,7548996.210912441,1.59,33,194,0.23,0.82,194,26,33,True,39,117
411,3,23,13208789.576194357,0.34,57,94,0.29,0.9,94,18,57,True,93,165
412,4,17,16841037.38285935,1.95,26,30,0.06,0.81,30,5,26,True,64,82
413,7,15,32627627.980244946,1.54,42,84,0.14,0.74,84,26,42,True,98,147
414,8,33,40644134.806431584,0.82,78,90,0.27,0.76,90,26,78,True,31,108
415,6,19,26791875.71047905,0.79,47,63,0.18,0.86,63,17,47,True,44,168
416,2,15,9695685.73959789,0.64,77,150,0.23,0.81,150,18,77,True,89,189
417,4,21,16711077.955095721,1.22,13,160,0.15,0.78,160,24,13,True,52,182
418,9,20,33726516.253966495,1.54,36,152,0.24,0.72,152,16,36,True,40,63
419,7,8,28534457.196051475,0.97,12,161,0.28,0.92,161,21,12,True,52,159
420,8,19,40201480.66241841,1.06,84,60,0.1,0.94,60,20,84,True,23,159
421,9,9,36149734.86347304,1.36,90,96,0.1,0.93,96,5,90,True,43,125
422,9,20,39304352.09348876,0.43,80,122,0.17,0.85,122,25,80,True,21,145
423,9,10,33855102.00580087,0.55,11,86,0.16,0.83,86,24,11,True,83,167
424,9,18,43011074.060202286,0.88,69,50,0.24,0.77,50,25,69,True,20,193
425,8,25,32540195.546186607,0.12,36,189,0.24,0.78,189,5,36,True,82,152
426,5,15,28822966.660364293,1.48,22,55,0.24,0.85,55,7,22,True,91,147
427,2,28,11493008.029468313,0.99,98,101,0.25,0.94,101,16,98,True,63,63
428,6,17,29101580.616004206,0.29,82,152,0.25,0.8,152,7,82,True,21,108
429,8,26,36655148.512646735,0.44,95,96,0.17,0.84,96,29,95,True,56,161
430,5,24,20104927.131351713,1.5,80,20,0.18,0.92,20,22,80,True,85,109
431,8,10,36024419.84407254,0.03,59,127,0.29,0.93,127,9,59,True,88,150
432,7,7,27750197.744326223,0.47,99,147,0.14,0.71,147,6,99,True,64,141
433,7,11,29671734.24049588,1.29,100,188,0.14,0.78,188,16,100,True,96,120
434,3,4,17240388.02033714,0.43,100,150,0.16,0.89,150,13,100,True,90,89
435,6,34,31627260.720761668,0.43,26,199,0.07,0.73,199,13,26,True,75,154
436,6,6,28360927.28353355,0.69,66,156,0.11,0.87,156,10,66,True,49,145
437,10,29,50290741.18511954,1.2,23,32,0.25,0.89,32,7,23,True,99,93
438,6,38,21131487.047786932,0.76,38,126,0.08,0.79,126,15,38,True,92,66
439,5,40,33437891.244558893,1.34,42,78,0.08,0.89,78,27,42,True,52,161
440,6,38,22795339.625921763,0.12,67,102,0.29,0.75,102,25,67,True,58,62
441,10,23,51356457.96124323,1.73,95,193,0.17,0.81,193,21,95,True,49,163
442,3,23,16192621.375173647,1.11,97,99,0.21,0.72,99,17,97,True,45,116
443,2,16,12239072.47645673,0.48,10,116,0.14,0.88,116,25,10,True,57,184
444,8,20,44678920.16100049,1.92,95,121,0.05,0.88,121,8,95,True,52,131
445,6,20,33932867.8451491,0.85,10,81,0.1,0.71,81,18,10,True,70,126
446,3,13,16230471.419189353,0.55,41,73,0.1,0.86,73,12,41,True,77,90
447,2,28,972156.5899900105,0.75,91,36,0.06,0.74,36,8,91,True,32,144
448,8,21,45651265.92473608,1.18,49,176,0.12,0.82,176,19,49,True,59,153
449,8,29,34621107.23397787,1.3,47,185,0.17,0.9,185,29,47,True,30,53
450,6,10,28787703.262612343,0.42,28,199,0.07,0.94,199,8,28,True,86,118
451,10,34,43955348.92738897,0.96,99,170,0.05,0.86,170,28,99,True,61,115
452,10,38,44846100.59192132,1.6,36,189,0.2,0.78,189,27,36,True,76,85
453,1,34,6638068.781433523,1.15,59,133,0.19,0.82,133,17,59,True,80,120
454,10,17,51025742.81882268,1.69,33,140,0.21,0.84,140,11,33,True,37,118
455,3,3,13812778.643912125,0.33,28,132,0.23,0.72,132,11,28,True,23,132
456,10,26,53571667.22587774,0.83,51,55,0.05,0.94,55,22,51,True,39,182
457,10,27,43537852.48971817,0.67,58,132,0.13,0.73,132,7,58,True,28,113
458,9,14,43752015.743763044,0.87,69,94,0.17,0.94,94,22,69,True,50,58
459,4,9,12475681.818072066,0.22,37,105,0.23,0.85,105,23,37,True,60,149
460,9,20,48184689.897084475,1.59,38,28,0.24,0.9,28,10,38,True,62,121
461,6,6,22072397.293396525,1.25,48,27,0.18,0.94,27,15,48,True,45,192
462,9,39,33699130.21099006,0.25,47,75,0.24,0.73,75,16,47,True,60,166
463,8,25,34808357.35650627,0.3,76,193,0.17,0.81,193,12,76,True,32,122
464,2,4,7108266.113151625,0.89,66,67,0.07,0.72,67,26,66,True,76,118
465,4,24,16829779.20047015,0.79,41,178,0.19,0.89,178,12,41,True,43,56
466,7,13,32831488.705732588,0.11,22,96,0.23,0.86,96,19,22,True,100,150
467,10,32,44293582.004825935,0.57,65,176,0.24,0.77,176,6,65,True,91,139
468,4,38,7315404.98022958,1.51,89,195,0.2,0.71,195,14,89,True,43,142
469,4,29,25463744.31629001,1.52,50,95,0.22,0.84,95,30,50,True,100,189
470,1,32,3285682.853688378,1.01,62,85,0.07,0.95,85,19,62,True,75,84
471,8,30,36948493.106357984,0.02,55,187,0.19,0.92,187,6,55,True,31,180
472,7,9,29327383.41952548,1.42,12,192,0.19,0.92,192,27,12,True,91,68
473,8,13,36912861.12476175,1.33,94,108,0.14,0.79,108,16,94,True,27,166
474,10,36,45637892.28171394,0.29,76,27,0.28,0.91,27,15,76,True,53,120
475,8,28,28613357.104298368,1.94,17,153,0.24,0.87,153,12,17,True,31,115
476,7,7,32874892.78574589,0.33,92,103,0.11,0.83,103,29,92,True,63,192
477,6,25,25643932.496915407,0.49,28,52,0.11,0.72,52,25,28,True,98,193
478,3,31,16913417.173732102,1.67,84,191,0.18,0.84,191,22,84,True,73,137
479,3,35,11548515.236731485,0.25,22,31,0.21,0.89,31,25,22,True,94,50
480,9,18,41614236.72008939,1.54,28,200,0.28,0.92,200,8,28,True,73,55
481,1,19,7364469.3743964955,1.54,42,124,0.27,0.89,124,29,42,True,20,57
482,9,40,40074326.46623039,0.8,50,183,0.25,0.79,183,19,50,True,82,61
483,1,1,614928.9566320884,0.69,21,36,0.27,0.87,36,8,21,True,90,161
484,2,36,5995913.341620542,1.48,66,109,0.05,0.82,109,6,66,True,49,74
485,5,9,24909958.966580253,1.17,90,76,0.12,0.91,76,24,90,True,40,63
486,3,8,3641058.5131520713,1.73,59,131,0.23,0.76,131,24,59,True,35,197
487,4,4,11609550.903562449,0.95,19,154,0.13,0.87,154,23,19,True,71,58
488,7,29,34346141.23130783,0.29,53,24,0.23,0.94,24,16,53,True,26,102
489,9,16,43418419.50905584,1.8,87,187,0.1,0.76,187,13,87,True,88,196
490,4,15,21162233.514695253,1.21,93,192,0.12,0.81,192,14,93,True,55,50
491,3,26,16498632.716153212,0.32,55,74,0.17,0.87,74,26,55,True,97,162
492,8,25,33618144.972383104,1.15,10,116,0.17,0.72,116,30,10,True,71,119
493,1,2,5397378.20529541,0.79,76,53,0.12,0.71,53,13,76,True,59,95
494,7,27,32151609.68525667,0.32,18,60,0.14,0.91,60,30,18,True,82,66
495,1,35,6730011.572669452,1.83,61,188,0.17,0.79,188,24,61,True,74,92
496,3,20,20168807.32945005,0.39,62,147,0.29,0.93,147,8,62,True,88,185
497,2,19,14724456.565691039,0.9,76,81,0.07,0.76,81,29,76,True,86,189
498,1,1,7890172.433943511,1.43,92,108,0.14,0.82,108,18,92,True,23,77
499,8,32,35650615.78355736,1.29,46,72,0.24,0.88,72,18,46,True,69,58
500,4,22,32003552.354795765,0.93,12,81,0.27,0.84,81,20,12,True,25,55
501,8,8,37025022.01425625,0.49,40,142,0.13,0.81,142,18,40,True,89,123
502,1,12,482357.85710643575,1.63,74,176,0.2,0.74,176,22,74,True,27,138
503,1,12,447883.57895768597,0.59,48,79,0.27,0.87,79,25,48,True,44,84
504,3,40,11982511.083552629,2.0,22,32,0.09,0.86,32,8,22,True,42,189
505,5,11,25925388.424176432,0.31,42,193,0.21,0.94,193,29,42,True,85,102
506,1,1,6896632.0559099205,1.36,75,39,0.1,0.9,39,11,75,True,57,133
507,6,36,22697605.12474842,1.34,43,125,0.19,0.87,125,12,43,True,25,53
508,1,1,6767724.984153328,1.1,39,176,0.19,0.85,176,10,39,True,98,115
509,1,30,5931862.558003902,0.41,34,115,0.13,0.84,115,15,34,True,77,106
510,6,20,39287555.27900169,0.78,70,100,0.25,0.75,100,7,70,True,63,98
511,2,22,3276482.2672685576,0.55,64,46,0.06,0.93,46,22,64,True,26,119
512,4,25,12335464.212816685,0.13,58,154,0.28,0.76,154,8,58,True,60,111
513,1,21,7552192.495970289,1.83,23,76,0.09,0.72,76,9,23,True,84,99
514,5,35,30597326.864483178,1.54,40,89,0.16,0.94,89,6,40,True,78,56
515,10,32,41988860.07733086,0.16,89,76,0.25,0.75,76,26,89,True,92,149
516,4,28,13501056.022813331,1.92,51,47,0.22,0.82,47,9,51,True,66,159
517,7,24,32072981.172315978,1.7,55,94,0.09,0.91,94,18,55,True,57,148
518,3,20,14382282.020533735,0.77,45,137,0.28,0.78,137,11,45,True,78,168
519,10,33,46552236.68266594,0.34,71,169,0.2,0.82,169,26,71,True,63,145
520,7,34,30013862.531759605,1.46,38,198,0.13,0.76,198,26,38,True,63,187
521,10,38,40919048.441461705,1.25,28,98,0.18,0.74,98,8,28,True,88,139
522,6,37,26660607.494745255,1.3,23,83,0.07,0.91,83,22,23,True,87,186
523,6,23,27220008.616763286,1.01,18,47,0.12,0.74,47,6,18,True,20,100
524,10,38,42410712.30816713,0.79,96,137,0.17,0.91,137,27,96,True,44,81
525,4,36,11942796.455620812,0.76,98,159,0.28,0.94,159,7,98,True,83,102
526,1,40,4844739.837810288,0.53,12,145,0.15,0.9,145,5,12,True,33,198
527,3,11,6357616.203228081,0.67,50,133,0.07,0.75,133,30,50,True,21,64
528,4,19,25176726.204835914,0.86,92,184,0.2,0.89,184,15,92,True,79,174
529,1,20,7285230.399408481,1.35,65,79,0.05,0.91,79,12,65,True,83,94
530,1,1,3681483.8243220425,1.97,90,147,0.09,0.74,147,27,90,True,100,64
531,9,11,36633060.2120962,0.53,42,130,0.23,0.94,130,23,42,True,84,118
532,8,12,31961378.624280706,0.47,13,190,0.18,0.92,190,13,13,True,28,67
533,2,19,10697547.758250272,0.14,39,40,0.08,0.84,40,13,39,True,86,167
534,10,24,52971352.11277568,1.27,20,151,0.12,0.89,151,30,20,True,53,84
535,2,2,11172989.821422596,0.38,65,173,0.26,0.76,173,7,65,True,64,151
536,6,6,29371091.35808874,1.57,56,97,0.28,0.78,97,10,56,True,63,58
537,5,19,31225222.989721462,1.49,73,134,0.27,0.7,134,14,73,True,76,108
538,1,9,7606839.788644868,0.22,69,72,0.29,0.78,72,26,69,True,66,133
539,3,35,25689531.838855878,1.87,68,171,0.2,0.81,171,16,68,True,91,164
540,3,16,3437089.268003344,1.89,71,76,0.08,0.86,76,28,71,True,96,122
541,4,13,18797024.84228474,0.07,55,193,0.13,0.84,193,20,55,True,32,54
542,1,2,3077155.244345933,0.8,45,58,0.07,0.84,58,15,45,True,60,151
543,1,1,6524114.255457955,1.44,50,172,0.26,0.9,172,10,50,True,36,88
544,7,18,39207854.1137225,0.2,33,109,0.1,0.87,109,9,33,True,68,71
545,8,34,40165988.478092074,1.56,75,137,0.09,0.79,137,5,75,True,59,173
546,2,10,7190607.3947408,0.23,16,122,0.28,0.85,122,24,16,True,95,158
547,1,33,6951999.239035442,1.36,64,88,0.13,0.87,88,12,64,True,94,128
548,6,6,39175726.05719312,1.68,25,168,0.17,0.9,168,8,25,True,95,191
549,1,20,3580498.89421281,0.52,38,37,0.29,0.88,37,25,38,True,97,123
550,5,6,27693751.962972652,0.12,76,195,0.19,0.88,195,23,76,True,20,54
551,10,22,41606870.4932759,1.85,49,46,0.06,0.72,46,25,49,True,64,117
552,6,27,29900327.60421764,0.51,54,50,0.25,0.79,50,16,54,True,98,67
553,5,5,24794249.43376136,0.96,41,26,0.06,0.73,26,18,41,True,96,115
554,4,21,18031623.41715089,0.71,91,109,0.15,0.78,109,21,91,True,48,143
555,5,38,28207293.676674083,1.77,30,190,0.11,0.88,190,14,30,True,42,196
556,3,3,12366620.215637116,1.86,70,198,0.26,0.85,198,23,70,True,84,96
557,4,20,14899044.588357907,1.59,99,91,0.21,0.72,91,24,99,True,47,138
558,9,19,53287235.62948242,1.1,93,92,0.09,0.81,92,24,93,True,40,168
559,8,35,31746137.83501726,1.7,40,120,0.1,0.7,120,29,40,True,85,130
560,8,17,40927164.9950572,1.04,63,141,0.06,0.8,141,30,63,True,36,108
561,4,10,14584418.025627501,0.55,42,86,0.22,0.73,86,14,42,True,26,173
562,2,35,3411567.3801852246,1.53,30,129,0.08,0.82,129,21,30,True,87,119
563,6,30,30446929.636822972,1.93,16,75,0.06,0.92,75,5,16,True,88,133
564,1,24,3004090.6114433017,0.02,59,20,0.09,0.9,20,13,59,True,24,99
565,4,4,20683423.43365912,0.37,89,40,0.07,0.86,40,28,89,True,49,109
566,1,10,3409022.16394929,0.42,98,180,0.07,0.91,180,7,98,True,73,126
567,1,9,5806463.565565715,0.6,22,177,0.22,0.88,177,7,22,True,32,174
568,4,25,26647195.688949615,1.05,21,175,0.23,0.95,175,10,21,True,62,85
569,1,2,6629178.42386544,0.31,95,159,0.29,0.73,159,6,95,True,96,61
570,1,33,6681875.120656995,1.4,37,87,0.15,0.73,87,23,37,True,100,78
571,8,25,34181974.109692916,1.59,33,199,0.25,0.87,199,6,33,True,70,187
572,2,39,14437204.575611845,1.51,93,71,0.15,0.82,71,22,93,True,71,66
573,9,29,42307011.81372897,1.61,10,140,0.29,0.9,140,8,10,True,48,140
574,7,14,30312043.6961769,1.72,60,27,0.07,0.9,27,5,60,True,21,101
575,1,39,3085837.174088418,0.28,58,132,0.12,0.72,132,9,58,True,56,147
576,4,6,20925782.51850662,1.55,28,170,0.18,0.92,170,26,28,True,24,118
577,8,26,32642518.613831095,0.65,76,98,0.23,0.95,98,11,76,True,59,114
578,2,10,9561200.386615396,0.16,65,135,0.15,0.74,135,22,65,True,96,77
579,5,19,29488803.654032964,0.83,84,152,0.13,0.8,152,12,84,True,92,75
580,4,4,20555741.53034282,1.75,42,170,0.2,0.87,170,9,42,True,88,92
581,2,33,5729061.983097276,0.42,81,148,0.18,0.76,148,11,81,True,70,135
582,3,3,9536186.75074333,1.41,96,22,0.24,0.8,22,26,96,True,78,54
583,2,18,12985092.126105314,0.07,51,119,0.18,0.83,119,27,51,True,84,50
584,10,29,43668675.42991713,1.51,78,177,0.21,0.81,177,21,78,True,39,87
585,2,10,15131322.390120462,1.15,66,99,0.18,0.83,99,25,66,True,82,98
586,1,9,6585781.546171987,1.89,93,142,0.11,0.91,142,6,93,True,31,88
587,1,1,7890468.55359292,1.47,41,173,0.23,0.87,173,14,41,True,70,157
588,9,34,44252276.254024915,1.55,92,46,0.27,0.86,46,12,92,True,89,101
589,5,24,27056638.47329218,0.92,33,86,0.18,0.91,86,7,33,True,22,73
590,9,34,37108561.021537885,0.7,14,96,0.13,0.74,96,17,14,True,82,111
591,8,23,36140617.55640624,1.65,45,92,0.07,0.87,92,13,45,True,54,192
592,5,40,21243767.746806115,0.84,56,96,0.17,0.7,96,8,56,True,86,158
593,7,7,40205786.6272066,1.41,30,31,0.11,0.85,31,30,30,True,38,67
594,5,15,21626128.900949735,0.98,39,157,0.21,0.94,157,19,39,True,86,132
595,8,8,33813165.8571592,1.9,21,199,0.24,0.77,199,7,21,True,50,60
596,3,30,14114242.972415391,0.97,32,82,0.23,0.94,82,30,32,True,88,86
597,7,22,35542992.133126736,0.46,21,80,0.1,0.87,80,10,21,True,22,150
598,2,12,14571973.288208582,1.34,26,48,0.3,0.91,48,16,26,True,74,127
599,1,29,3680541.382724628,1.83,71,89,0.06,0.81,89,9,71,True,83,132
600,7,36,31272640.078996293,1.14,24,99,0.29,0.71,99,20,24,True,50,168
601,3,11,19284208.14312759,1.88,17,149,0.13,0.73,149,16,17,True,89,189
602,2,38,12396540.276155092,1.0,19,136,0.18,0.86,136,11,19,True,68,50
603,5,5,23774728.153171595,0.77,84,121,0.25,0.91,121,10,84,True,71,134
604,1,8,3978534.8119150735,0.45,98,153,0.3,0.78,153,12,98,True,52,111
605,1,1,3408501.7092903266,0.58,51,79,0.09,0.85,79,10,51,True,22,109
606,1,1,5763253.7113459315,1.25,49,184,0.1,0.75,184,21,49,True,70,196
607,5,29,30037476.13854264,0.58,35,150,0.1,0.85,150,22,35,True,26,180
608,6,31,35950387.37485181,1.37,55,73,0.21,0.86,73,13,55,True,78,77
609,7,38,29569234.194205202,1.65,75,127,0.21,0.85,127,16,75,True,33,93
610,6,8,37581563.38340157,1.91,88,72,0.16,0.93,72,28,88,True,56,98
611,1,22,8013146.805486271,1.99,16,192,0.26,0.86,192,6,16,True,40,139
612,3,12,13529677.202355929,1.78,25,90,0.28,0.76,90,5,25,True,20,72
613,9,20,45642092.85884522,1.21,95,94,0.11,0.73,94,10,95,True,63,57
614,3,3,21461592.76636392,0.12,98,59,0.12,0.94,59,8,98,True,80,87
615,8,8,36820157.69449925,1.52,13,52,0.25,0.77,52,9,13,True,67,87
616,10,23,43833262.33138329,0.49,16,135,0.25,0.93,135,11,16,True,62,186
617,9,24,44249534.20505433,2.0,78,113,0.22,0.73,113,17,78,True,27,73
618,5,34,26654440.374810427,1.34,68,160,0.11,0.84,160,11,68,True,89,182
619,5,7,18555783.086559568,0.71,89,31,0.08,0.88,31,30,89,True,72,192
620,7,35,34284852.906725235,1.64,67,115,0.18,0.73,115,9,67,True,59,169
621,7,27,32425292.26910539,1.32,59,160,0.11,0.73,160,11,59,True,24,93
622,1,33,6407534.160663562,0.9,20,104,0.18,0.88,104,6,20,True,20,191
623,5,18,19267423.508092165,0.22,93,180,0.17,0.91,180,12,93,True,75,94
624,7,28,31649456.708796665,1.33,51,186,0.08,0.72,186,25,51,True,52,84
625,4,37,12506813.098863404,0.02,37,54,0.11,0.95,54,15,37,True,20,73
626,7,19,38054392.967240974,0.74,53,77,0.15,0.89,77,17,53,True,73,81
627,2,8,8421129.79770216,0.57,46,183,0.3,0.73,183,19,46,True,31,164
628,3,33,18449724.639728207,1.05,45,78,0.11,0.77,78,14,45,True,39,163
629,1,20,8626424.015942287,1.18,99,75,0.1,0.78,75,30,99,True,62,129
630,1,8,7554376.095675613,0.87,27,180,0.09,0.86,180,12,27,True,96,80
631,10,40,39728095.39565686,1.67,52,106,0.2,0.92,106,15,52,True,84,86
632,9,37,38088558.16203573,1.01,92,184,0.07,0.75,184,10,92,True,48,174
633,2,39,15305023.174978888,1.72,97,91,0.2,0.77,91,16,97,True,61,63
634,7,22,31171355.849321574,1.61,71,104,0.11,0.89,104,14,71,True,24,56
635,2,35,13222759.853884932,0.74,92,20,0.26,0.84,20,29,92,True,71,128
636,6,18,31542003.2670556,0.61,78,140,0.28,0.8,140,20,78,True,91,55
637,5,22,20610217.85865614,0.27,39,126,0.19,0.75,126,10,39,True,79,199
638,4,4,15332846.759472463,0.01,82,77,0.21,0.72,77,13,82,True,68,129
639,7,38,37126412.27090129,0.84,93,156,0.11,0.76,156,10,93,True,55,54
640,4,4,13152931.675671348,0.63,83,50,0.06,0.89,50,10,83,True,85,67
641,6,13,22214803.73256967,1.16,86,107,0.27,0.81,107,12,86,True,30,61
642,4,21,28521339.689152144,0.01,65,57,0.18,0.73,57,25,65,True,71,185
643,6,40,37598941.392252445,1.69,66,125,0.17,0.8,125,17,66,True,57,64
644,1,1,520380.7846200886,1.41,28,188,0.16,0.93,188,7,28,True,53,109
645,3,8,4275088.122307755,1.16,39,47,0.2,0.93,47,16,39,True,65,95
646,2,40,13666962.423588192,0.85,33,198,0.22,0.8,198,13,33,True,27,65
647,7,7,28067138.63081598,1.11,91,94,0.19,0.76,94,20,91,True,50,61
648,5,8,26110712.685432125,1.63,10,41,0.3,0.78,41,18,10,True,100,135
649,6,6,31299200.294317763,1.4,71,186,0.1,0.87,186,30,71,True,35,57
650,4,20,24983129.290324897,1.72,73,60,0.06,0.91,60,24,73,True,85,67
651,3,9,13450867.268405925,1.17,40,84,0.15,0.76,84,12,40,True,58,95
652,1,16,3905733.5551309558,1.2,39,59,0.18,0.82,59,17,39,True,73,85
653,2,28,11433550.328468144,0.34,44,80,0.13,0.7,80,27,44,True,66,145
654,3,6,11546743.858675689,1.2,40,79,0.29,0.85,79,17,40,True,75,105
655,8,9,39156357.787503354,1.73,60,190,0.18,0.74,190,17,60,True,29,134
656,7,20,46112658.64319111,0.29,36,88,0.16,0.7,88,28,36,True,68,182
657,9,36,38267085.85619861,0.01,60,92,0.08,0.74,92,10,60,True,45,161
